ScientificName,Kingdom,Kingdom_C,Phylum,Phylum_C,Class,Orders,Order_C,Family,Family_C,Genus,Collector,ForestConservation,Latitude,Longitude
Deudorix epijarbas menesicles,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Lycaenidae,灰蝶科,Deudorix,范義彬,0,0.00,0.00
Ourapteryx changi,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Geometridae,尺蛾科,Ourapteryx,蕭建軍,0,24.66,121.61
Ourapteryx clara  formosana,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Geometridae,尺蛾科,Ourapteryx,蕭建軍,0,24.66,121.61
Orthosia limbata fuscovestita,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Orthosia,吳士緯,0,0.00,0.00
Hypochrosis baenzigeri,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Geometridae,尺蛾科,Hypochrosis,吳士緯,0,0.00,0.00
Callopistria maillardi,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Callopistria,吳士緯,0,0.00,0.00
Krananda oliveomarginata,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Geometridae,尺蛾科,Krananda,吳士緯,0,0.00,0.00
Catoria sublavaria,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Geometridae,尺蛾科,Catoria,吳士緯,0,23.99,120.91
Ectropis sp.,Animality,,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Geometridae,尺蛾科,Ectropis,,0,0.00,0.00
Chrysodeixis eriosoma,Animality,動物界,Arthropoda,節肢動物門,Insecta,LEPIDOPTERA,鱗翅目,Noctuidae,夜蛾科,Chrysodeixis,吳士緯,0,0.00,0.00
