資料日期,代號,名稱,成交股數,成交筆數,成交金額,成交價格,未成交買價,未成交買量,未成交賣價,未成交賣量
"1110628","2061","風青","200","1","3600","18.00","18.00","1715","19.00","74"
"1110628","2063","世鎧","0","0","0","0.00","34.10","1319","34.90","1119"
"1110628","2064","晉椿","148","4","2507","16.95","16.85","1816","16.95","236"
"1110628","2065","世豐","129","4","5701","44.20","44.20","3632","44.90","1810"
"1110628","2066","世德","0","0","0","0.00","62.00","2198","62.60","276"
"1110628","2067","嘉鋼","0","0","0","0.00","13.40","1699","13.60","983"
"1110628","2070","精湛","0","0","0","0.00","32.00","1199","32.65","1728"
"1110628","2221","大甲","190","1","6602","34.75","34.75","2771","34.80","649"
"1110628","2230","泰茂","0","0","0","0.00","20.10","3970","20.30","1667"
"1110628","2235","謚源","0","0","0","0.00","39.85","1199","40.15","1135"
"1110628","2596","綠意","0","0","0","0.00","19.80","2800","19.90","2440"
"1110628","2640","大車隊","0","0","0","0.00","78.00","4721","78.60","1948"
"1110628","2641","正德","200","2","4460","22.30","22.25","4487","22.30","807"
"1110628","2643","捷迅","0","0","0","0.00","68.70","2238","69.00","242"
"1110628","2718","晶悅","0","0","0","0.00","0.00","0","34.30","31"
"1110628","2719","燦星旅","500","1","7375","14.75","0.00","0","14.75","1548"
"1110628","2724","富驛-KY","0","0","0","0.00","13.60","465","0.00","0"
"1110628","2726","雅茗-KY","0","0","0","0.00","26.05","2298","26.55","305"
"1110628","2729","瓦城","130","3","28795","221.50","220.00","2265","221.50","574"
"1110628","2732","六角","0","0","0","0.00","96.50","2253","101.00","36"
"1110628","2734","易飛網","0","0","0","0.00","38.00","3574","38.10","1564"
"1110628","2736","富野","1279","14","35042","27.40","27.30","2199","27.40","835"
"1110628","2740","天蔥","15","3","420","28.15","28.15","984","30.70","754"
"1110628","2743","山富","451","5","29766","66.00","66.00","2693","66.20","80"
"1110628","2745","五福","144","2","6912","48.00","48.00","1463","49.75","20"
"1110628","2752","豆府","8","1","1160","145.00","143.00","2298","145.00","339"
"1110628","2754","亞洲藏壽司","40","1","3012","75.30","74.50","3197","75.30","755"
"1110628","2755","揚秦","0","0","0","0.00","71.70","2297","73.00","112"
"1110628","2756","聯發國際","65","2","7085","109.00","107.00","310","109.00","1041"
"1110628","2916","滿心","60","2","1277","21.30","21.30","642","21.95","52"
"1110628","2924","東凌-KY","9","2","277","30.90","27.60","100","30.90","585"
"1110628","2926","誠品生活","60","2","2930","48.85","48.60","3399","48.85","1021"
"1110628","2937","集雅社","0","0","0","0.00","37.70","1199","38.00","2485"
"1110628","2947","振宇五金","28","2","3052","109.00","108.00","500","109.00","307"
"1110628","3064","泰偉","632","1","7078","11.20","11.20","1367","11.25","382"
"1110628","3066","李洲","0","0","0","0.00","27.55","1642","27.80","827"
"1110628","3067","全域","0","0","0","0.00","40.00","700","41.25","1206"
"1110628","3071","協禧","8","1","199","24.90","24.90","52301","25.15","689"
"1110628","3073","天方能源","0","0","0","0.00","23.00","1332","24.90","547"
"1110628","3078","僑威","0","0","0","0.00","34.00","2364","34.50","1507"
"1110628","3081","聯亞","1","1","123","123.00","119.00","2400","123.00","1069"
"1110628","3083","網龍","511","4","24373","47.70","47.70","4238","47.95","1111"
"1110628","3085","新零售","0","0","0","0.00","9.80","1011","10.35","190"
"1110628","3086","華義","182","3","18837","103.50","103.50","4541","104.00","277"
"1110628","3088","艾訊","0","0","0","0.00","58.20","2590","58.70","338"
"1110628","3089","億杰","1002","5","29557","29.50","29.50","3355","30.00","695"
"1110628","3093","港建","100","2","12150","121.50","120.50","1803","121.50","9"
"1110628","3095","及成","30","5","85","2.98","0.00","0","2.98","969"
"1110628","3105","穩懋","1025","26","206531","201.50","201.50","13591","202.00","749"
"1110628","3114","好德","0","0","0","0.00","26.35","3699","26.75","375"
"1110628","3115","寶島極","0","0","0","0.00","0.00","0","12.30","124"
"1110628","3118","進階","34","2","987","29.05","29.05","3763","29.40","71"
"1110628","3122","笙泉","0","0","0","0.00","40.65","2424","42.30","107"
"1110628","3128","昇銳","50","1","937","18.75","18.75","1274","18.90","969"
"1110628","3131","弘塑","25","3","5925","237.00","236.00","5089","237.00","563"
"1110628","3141","晶宏","53","7","7579","143.00","143.00","5688","143.50","1120"
"1110628","3147","大綜","0","0","0","0.00","45.85","2575","46.20","904"
"1110628","3152","璟德","296","4","59200","200.00","200.00","3033","205.50","63"
"1110628","3162","精確","312","2","11918","38.20","38.20","887","38.50","2379"
"1110628","3163","波若威","150","2","7147","47.65","47.65","2916","48.10","1228"
"1110628","3169","亞信","454","8","61290","135.00","135.00","3226","137.00","135"
"1110628","3171","新洲","0","0","0","0.00","18.00","700","19.00","1153"
"1110628","3176","基亞","1","1","44","44.05","44.05","2604","44.35","454"
"1110628","3178","公準","10","1","629","62.90","62.90","2288","63.50","570"
"1110628","3188","鑫龍騰","0","0","0","0.00","15.75","4268","16.00","1064"
"1110628","3191","和進","108","4","1057","9.80","9.26","476","9.80","41"
"1110628","3202","樺晟","0","0","0","0.00","14.20","2698","14.35","780"
"1110628","3205","佰研","988","16","38180","38.65","38.65","4485","38.80","681"
"1110628","3206","志豐","1","1","27","27.30","27.30","2677","27.55","1412"
"1110628","3207","耀勝","409","5","12555","30.70","30.70","2444","30.75","232"
"1110628","3211","順達","5","1","373","74.60","74.60","6690","74.70","2520"
"1110628","3213","茂訊","0","0","0","0.00","44.20","2872","46.05","69"
"1110628","3217","優群","91","2","6587","72.40","72.40","4240","73.60","1249"
"1110628","3218","大學光","15","3","4200","280.00","279.00","3376","280.00","694"
"1110628","3219","倚強科","0","0","0","0.00","80.30","2229","80.80","25"
"1110628","3221","台嘉碩","412","8","16231","39.40","39.35","3497","39.40","346"
"1110628","3224","三顧","1","1","47","47.00","47.00","2113","47.50","108"
"1110628","3226","至寶電","0","0","0","0.00","62.10","1699","63.50","764"
"1110628","3227","原相","670","6","68004","101.50","101.50","11012","102.00","5242"
"1110628","3228","金麗科","506","21","166980","330.00","328.50","4674","330.00","14"
"1110628","3230","錦明","1","1","15","15.70","15.70","1698","15.90","412"
"1110628","3232","昱捷","600","13","16164","26.95","26.80","3161","26.95","1205"
"1110628","3234","光環","158","2","3325","21.05","20.70","3662","21.05","560"
"1110628","3236","千如","0","0","0","0.00","19.75","1555","19.85","1599"
"1110628","3252","海灣","1","1","24","24.45","24.45","699","24.55","1432"
"1110628","3259","鑫創","790","3","16037","20.30","20.30","1875","20.70","1570"
"1110628","3260","威剛","49","2","3087","63.00","63.00","7210","65.00","460"
"1110628","3264","欣銓","525","11","19950","38.00","38.00","14076","38.20","6414"
"1110628","3265","台星科","329","5","16614","50.50","50.20","1699","50.50","1547"
"1110628","3268","海德威","1","1","22","22.45","22.25","1219","22.45","88"
"1110628","3272","東碩","0","0","0","0.00","26.85","1876","27.15","487"
"1110628","3276","宇環","1","1","16","16.95","16.90","4614","16.95","1575"
"1110628","3284","太普高","0","0","0","0.00","12.50","957","13.20","118"
"1110628","3285","微端","0","0","0","0.00","19.50","1934","20.45","63"
"1110628","3287","廣寰科","0","0","0","0.00","13.30","1636","13.45","687"
"1110628","3288","點晶","21","6","324","15.55","13.80","1000","15.55","789"
"1110628","3289","宜特","646","5","33268","51.50","51.50","4359","52.30","882"
"1110628","3290","東浦","0","0","0","0.00","21.10","4588","21.30","1709"
"1110628","3293","鈊象","730","26","540200","740.00","740.00","4845","742.00","2686"
"1110628","3294","英濟","439","1","8758","19.95","19.95","4233","20.15","1541"
"1110628","3297","杭特","209","4","3197","15.30","15.25","5691","15.30","855"
"1110628","3303","岱稜","0","0","0","0.00","28.45","3997","28.55","515"
"1110628","3306","鼎天","2","2","46","23.30","23.20","3000","23.30","251"
"1110628","3310","佳穎","0","0","0","0.00","38.10","2387","38.75","882"
"1110628","3313","斐成","405","6","4514","11.15","11.15","3662","11.20","1484"
"1110628","3317","尼克森","300","1","18810","62.70","62.40","2923","62.70","598"
"1110628","3322","建舜電","164","3","2788","17.00","17.00","3227","17.20","147"
"1110628","3323","加百裕","104","2","3577","34.40","34.40","1845","36.10","1365"
"1110628","3324","雙鴻","59","5","10030","170.00","170.00","5067","170.50","2154"
"1110628","3325","旭品","0","0","0","0.00","13.00","2491","13.70","1103"
"1110628","3332","幸康","0","0","0","0.00","40.35","1199","41.15","601"
"1110628","3339","泰谷","650","2","9327","14.35","14.35","1549","14.60","74"
"1110628","3349","寶德","0","0","0","0.00","0.00","0","17.60","55"
"1110628","3354","律勝","100","2","1884","18.85","18.85","5898","18.90","2038"
"1110628","3357","臺慶科","50","1","4925","98.50","98.30","1502","98.50","21"
"1110628","3360","尚立","0","0","0","0.00","15.50","1800","15.65","357"
"1110628","3362","先進光","0","0","0","0.00","58.00","4047","58.40","548"
"1110628","3363","上詮","0","0","0","0.00","24.00","1789","24.15","1707"
"1110628","3372","典範","422","1","5992","14.20","14.20","1277","14.35","103"
"1110628","3373","熱映","0","0","0","0.00","23.35","2363","24.40","275"
"1110628","3374","精材","265","8","35111","132.50","132.00","3469","132.50","768"
"1110628","3379","彬台","0","0","0","0.00","11.60","3687","11.75","349"
